iter	Passed	Remaining
0	171	170977
1	182	91105
2	198	65946
3	207	51727
4	215	42883
5	226	37534
6	234	33211
7	243	30220
8	284	31295
9	320	31734
10	340	30645
11	357	29463
12	367	27936
13	398	28037
14	417	27423
15	426	26212
16	435	25195
17	444	24246
18	453	23392
19	464	22741
20	472	22029
21	480	21369
22	491	20868
23	500	20359
24	511	19940
25	519	19461
26	526	18970
27	532	18485
28	540	18105
29	548	17723
30	554	17338
31	560	16967
32	566	16600
33	571	16241
34	576	15902
35	583	15623
36	590	15365
37	595	15067
38	600	14786
39	605	14528
40	609	14266
41	614	14013
42	622	13862
43	627	13632
44	633	13447
45	638	13244
46	643	13051
47	648	12862
48	653	12682
49	658	12502
50	662	12333
51	668	12181
52	673	12033
53	679	11907
54	685	11773
55	691	11651
56	696	11517
57	701	11391
58	707	11281
59	713	11183
60	726	11186
61	734	11112
62	742	11050
63	755	11045
64	762	10973
65	770	10909
66	776	10812
67	785	10770
68	794	10721
69	802	10657
70	811	10612
71	818	10543
72	825	10478
73	832	10420
74	840	10364
75	848	10315
76	855	10252
77	863	10209
78	873	10177
79	887	10203
80	896	10168
81	909	10179
82	920	10173
83	935	10205
84	950	10227
85	964	10246
86	978	10266
87	993	10293
88	1005	10287
89	1013	10242
90	1019	10187
91	1026	10127
92	1033	10077
93	1042	10050
94	1049	9996
95	1057	9955
96	1063	9898
97	1070	9849
98	1075	9791
99	1081	9730
100	1089	9695
101	1099	9677
102	1106	9636
103	1113	9590
104	1120	9547
105	1127	9507
106	1133	9462
107	1141	9425
108	1147	9384
109	1154	9339
110	1161	9298
111	1169	9270
112	1176	9236
113	1186	9221
114	1195	9202
115	1202	9167
116	1209	9125
117	1221	9129
118	1227	9084
119	1233	9043
120	1240	9014
121	1246	8967
122	1251	8919
123	1266	8943
124	1277	8943
125	1287	8928
126	1295	8905
127	1302	8871
128	1309	8842
129	1318	8825
130	1329	8818
131	1339	8810
132	1353	8824
133	1364	8818
134	1375	8812
135	1391	8837
136	1397	8800
137	1403	8766
138	1412	8747
139	1419	8720
140	1429	8707
141	1438	8693
142	1447	8674
143	1457	8665
144	1468	8659
145	1481	8663
146	1492	8661
147	1501	8641
148	1509	8622
149	1518	8602
150	1525	8576
151	1537	8579
152	1544	8551
153	1553	8535
154	1560	8506
155	1569	8490
156	1575	8458
157	1582	8431
